,fn,fnum,objname,filter,trimsec,biassec
68,./Imaging/a069.fits,69,PG1633+099,V,"[:53, 1:2048]","[54:2101, 1:2048]"
69,./Imaging/a070.fits,70,PG1633+099,V,"[:53, 1:2048]","[54:2101, 1:2048]"
70,./Imaging/a071.fits,71,PG1633+099,V,"[:53, 1:2048]","[54:2101, 1:2048]"
71,./Imaging/a072.fits,72,PG1633+099,V,"[:53, 1:2048]","[54:2101, 1:2048]"
72,./Imaging/a073.fits,73,PG1633+099,V,"[:53, 1:2048]","[54:2101, 1:2048]"
73,./Imaging/a074.fits,74,PG1633+099,V,"[:53, 1:2048]","[54:2101, 1:2048]"
74,./Imaging/a075.fits,75,PG1633+099,V,"[:53, 1:2048]","[54:2101, 1:2048]"
75,./Imaging/a076.fits,76,PG1633+099,V,"[:53, 1:2048]","[54:2101, 1:2048]"
76,./Imaging/a077.fits,77,PG1633+099,V,"[:53, 1:2048]","[54:2101, 1:2048]"
77,./Imaging/a078.fits,78,PG1633+099,V,"[:53, 1:2048]","[54:2101, 1:2048]"
78,./Imaging/a079.fits,79,PG1633+099,V,"[:53, 1:2048]","[54:2101, 1:2048]"
79,./Imaging/a080.fits,80,PG1633+099,V,"[:53, 1:2048]","[54:2101, 1:2048]"
80,./Imaging/a081.fits,81,PG1633+099,U,"[:53, 1:2048]","[54:2101, 1:2048]"
81,./Imaging/a082.fits,82,PG1633+099,U,"[:53, 1:2048]","[54:2101, 1:2048]"
82,./Imaging/a083.fits,83,PG1633+099,B,"[:53, 1:2048]","[54:2101, 1:2048]"
83,./Imaging/a084.fits,84,PG1633+099,V,"[:53, 1:2048]","[54:2101, 1:2048]"
84,./Imaging/a085.fits,85,PG1633+099,V,"[:53, 1:2048]","[54:2101, 1:2048]"
85,./Imaging/a086.fits,86,PG1633+099,V,"[:53, 1:2048]","[54:2101, 1:2048]"
86,./Imaging/a087.fits,87,PG1633+099,R,"[:53, 1:2048]","[54:2101, 1:2048]"
87,./Imaging/a088.fits,88,PG1633+099,R,"[:53, 1:2048]","[54:2101, 1:2048]"
88,./Imaging/a089.fits,89,PG1633+099,I,"[:53, 1:2048]","[54:2101, 1:2048]"
89,./Imaging/a090.fits,90,PG1633+099,I,"[:53, 1:2048]","[54:2101, 1:2048]"
90,./Imaging/a091.fits,91,PG1633+099,Ha,"[:53, 1:2048]","[54:2101, 1:2048]"
91,./Imaging/a092.fits,92,PG1633+099,Ha,"[:53, 1:2048]","[54:2101, 1:2048]"
92,./Imaging/a093.fits,93,BIAS,None,"[:53, 1:2048]","[54:2101, 1:2048]"
93,./Imaging/a094.fits,94,BIAS,None,"[:53, 1:2048]","[54:2101, 1:2048]"
94,./Imaging/a095.fits,95,BIAS,None,"[:53, 1:2048]","[54:2101, 1:2048]"
95,./Imaging/a096.fits,96,BIAS,None,"[:53, 1:2048]","[54:2101, 1:2048]"
96,./Imaging/a097.fits,97,BIAS,None,"[:53, 1:2048]","[54:2101, 1:2048]"
97,./Imaging/a098.fits,98,BIAS,None,"[:53, 1:2048]","[54:2101, 1:2048]"
98,./Imaging/a099.fits,99,BIAS,None,"[:53, 1:2048]","[54:2101, 1:2048]"
99,./Imaging/a100.fits,100,BIAS,None,"[:53, 1:2048]","[54:2101, 1:2048]"
100,./Imaging/a101.fits,101,BIAS,None,"[:53, 1:2048]","[54:2101, 1:2048]"
101,./Imaging/a102.fits,102,BIAS,None,"[:53, 1:2048]","[54:2101, 1:2048]"
102,./Imaging/a103.fits,103,BIAS,None,"[:53, 1:2048]","[54:2101, 1:2048]"
103,./Imaging/a104.fits,104,BIAS,None,"[:53, 1:2048]","[54:2101, 1:2048]"
104,./Imaging/a105.fits,105,BIAS,None,"[:53, 1:2048]","[54:2101, 1:2048]"
105,./Imaging/a106.fits,106,BIAS,None,"[:53, 1:2048]","[54:2101, 1:2048]"
106,./Imaging/a107.fits,107,BIAS,None,"[:53, 1:2048]","[54:2101, 1:2048]"
107,./Imaging/a108.fits,108,BIAS,None,"[:53, 1:2048]","[54:2101, 1:2048]"
108,./Imaging/a109.fits,109,BIAS,None,"[:53, 1:2048]","[54:2101, 1:2048]"
109,./Imaging/a110.fits,110,BIAS,None,"[:53, 1:2048]","[54:2101, 1:2048]"
110,./Imaging/a111.fits,111,BIAS,None,"[:53, 1:2048]","[54:2101, 1:2048]"
111,./Imaging/a112.fits,112,PV Cep,B,"[:53, 1:2048]","[54:2101, 1:2048]"
112,./Imaging/a113.fits,113,PV Cep,B,"[:53, 1:2048]","[54:2101, 1:2048]"
113,./Imaging/a114.fits,114,PV Cep,B,"[:53, 1:2048]","[54:2101, 1:2048]"
114,./Imaging/a115.fits,115,PV Cep,V,"[:53, 1:2048]","[54:2101, 1:2048]"
115,./Imaging/a116.fits,116,PV Cep,V,"[:53, 1:2048]","[54:2101, 1:2048]"
116,./Imaging/a117.fits,117,PV Cep,V,"[:53, 1:2048]","[54:2101, 1:2048]"
117,./Imaging/a118.fits,118,PV Cep,V,"[:53, 1:2048]","[54:2101, 1:2048]"
118,./Imaging/a119.fits,119,PV Cep,V,"[:53, 1:2048]","[54:2101, 1:2048]"
119,./Imaging/a120.fits,120,PV Cep,V,"[:53, 1:2048]","[54:2101, 1:2048]"
120,./Imaging/a121.fits,121,PV Cep,R,"[:53, 1:2048]","[54:2101, 1:2048]"
121,./Imaging/a122.fits,122,PV Cep,R,"[:53, 1:2048]","[54:2101, 1:2048]"
122,./Imaging/a123.fits,123,PV Cep,R,"[:53, 1:2048]","[54:2101, 1:2048]"
123,./Imaging/a124.fits,124,PV Cep,I,"[:53, 1:2048]","[54:2101, 1:2048]"
124,./Imaging/a125.fits,125,PV Cep,I,"[:53, 1:2048]","[54:2101, 1:2048]"
125,./Imaging/a126.fits,126,PV Cep,I,"[:53, 1:2048]","[54:2101, 1:2048]"
126,./Imaging/a127.fits,127,PV Cep,Ha,"[:53, 1:2048]","[54:2101, 1:2048]"
127,./Imaging/a128.fits,128,PV Cep,Ha,"[:53, 1:2048]","[54:2101, 1:2048]"
128,./Imaging/a129.fits,129,PV Cep,Ha,"[:53, 1:2048]","[54:2101, 1:2048]"
129,./Imaging/a130.fits,130,PG1633+099,U,"[:53, 1:2048]","[54:2101, 1:2048]"
130,./Imaging/a131.fits,131,PG1633+099,U,"[:53, 1:2048]","[54:2101, 1:2048]"
131,./Imaging/a132.fits,132,PG1633+099,B,"[:53, 1:2048]","[54:2101, 1:2048]"
132,./Imaging/a133.fits,133,PG1633+099,B,"[:53, 1:2048]","[54:2101, 1:2048]"
133,./Imaging/a134.fits,134,PG1633+099,V,"[:53, 1:2048]","[54:2101, 1:2048]"
134,./Imaging/a135.fits,135,PG1633+099,V,"[:53, 1:2048]","[54:2101, 1:2048]"
135,./Imaging/a136.fits,136,PG1633+099,R,"[:53, 1:2048]","[54:2101, 1:2048]"
136,./Imaging/a137.fits,137,PG1633+099,R,"[:53, 1:2048]","[54:2101, 1:2048]"
137,./Imaging/a138.fits,138,PG1633+099,I,"[:53, 1:2048]","[54:2101, 1:2048]"
138,./Imaging/a139.fits,139,PG1633+099,I,"[:53, 1:2048]","[54:2101, 1:2048]"
139,./Imaging/a142.fits,142,Michael 1,I,"[:53, 1:2048]","[54:2101, 1:2048]"
140,./Imaging/a143.fits,143,Michael 1,I,"[:53, 1:2048]","[54:2101, 1:2048]"
141,./Imaging/a144.fits,144,Michael 1,R,"[:53, 1:2048]","[54:2101, 1:2048]"
142,./Imaging/a145.fits,145,Michael 1,R,"[:53, 1:2048]","[54:2101, 1:2048]"
143,./Imaging/a146.fits,146,Michael 1,V,"[:53, 1:2048]","[54:2101, 1:2048]"
144,./Imaging/a147.fits,147,Michael 1,V,"[:53, 1:2048]","[54:2101, 1:2048]"
145,./Imaging/a148.fits,148,Michael 1,B,"[:53, 1:2048]","[54:2101, 1:2048]"
146,./Imaging/a149.fits,149,Michael 1,B,"[:53, 1:2048]","[54:2101, 1:2048]"
147,./Imaging/a150.fits,150,Michael 1,U,"[:53, 1:2048]","[54:2101, 1:2048]"
148,./Imaging/a151.fits,151,Michael 1,U,"[:53, 1:2048]","[54:2101, 1:2048]"
149,./Imaging/a153.fits,153,NGC6823,I,"[:53, 1:2048]","[54:2101, 1:2048]"
150,./Imaging/a154.fits,154,NGC6823,I,"[:53, 1:2048]","[54:2101, 1:2048]"
151,./Imaging/a155.fits,155,NGC6823,R,"[:53, 1:2048]","[54:2101, 1:2048]"
152,./Imaging/a156.fits,156,NGC6823,R,"[:53, 1:2048]","[54:2101, 1:2048]"
153,./Imaging/a157.fits,157,NGC6823,V,"[:53, 1:2048]","[54:2101, 1:2048]"
154,./Imaging/a158.fits,158,NGC6823,V,"[:53, 1:2048]","[54:2101, 1:2048]"
155,./Imaging/a159.fits,159,NGC6823,V,"[:53, 1:2048]","[54:2101, 1:2048]"
156,./Imaging/a160.fits,160,NGC6823,B,"[:53, 1:2048]","[54:2101, 1:2048]"
157,./Imaging/a161.fits,161,NGC6823,B,"[:53, 1:2048]","[54:2101, 1:2048]"
158,./Imaging/a162.fits,162,NGC6823,U,"[:53, 1:2048]","[54:2101, 1:2048]"
159,./Imaging/a163.fits,163,NGC6823,U,"[:53, 1:2048]","[54:2101, 1:2048]"
160,./Imaging/a165.fits,165,M16,B,"[:53, 1:2048]","[54:2101, 1:2048]"
161,./Imaging/a166.fits,166,M16,B,"[:53, 1:2048]","[54:2101, 1:2048]"
162,./Imaging/a167.fits,167,M16,B,"[:53, 1:2048]","[54:2101, 1:2048]"
163,./Imaging/a168.fits,168,M16,B,"[:53, 1:2048]","[54:2101, 1:2048]"
164,./Imaging/a169.fits,169,M16,B,"[:53, 1:2048]","[54:2101, 1:2048]"
165,./Imaging/a170.fits,170,M16,V,"[:53, 1:2048]","[54:2101, 1:2048]"
166,./Imaging/a171.fits,171,M16,V,"[:53, 1:2048]","[54:2101, 1:2048]"
167,./Imaging/a172.fits,172,M16,V,"[:53, 1:2048]","[54:2101, 1:2048]"
168,./Imaging/a173.fits,173,M16,R,"[:53, 1:2048]","[54:2101, 1:2048]"
169,./Imaging/a174.fits,174,M16,R,"[:53, 1:2048]","[54:2101, 1:2048]"
170,./Imaging/a175.fits,175,M16,R,"[:53, 1:2048]","[54:2101, 1:2048]"
171,./Imaging/a176.fits,176,M16,Ha,"[:53, 1:2048]","[54:2101, 1:2048]"
172,./Imaging/a177.fits,177,M16,Ha,"[:53, 1:2048]","[54:2101, 1:2048]"
173,./Imaging/a178.fits,178,M16,Ha,"[:53, 1:2048]","[54:2101, 1:2048]"
174,./Imaging/a179.fits,179,M16,U,"[:53, 1:2048]","[54:2101, 1:2048]"
175,./Imaging/a180.fits,180,M16,U,"[:53, 1:2048]","[54:2101, 1:2048]"
176,./Imaging/a181.fits,181,M16,U,"[:53, 1:2048]","[54:2101, 1:2048]"
177,./Imaging/a183.fits,183,NGC7006,V,"[:53, 1:2048]","[54:2101, 1:2048]"
178,./Imaging/a184.fits,184,NGC7006,V,"[:53, 1:2048]","[54:2101, 1:2048]"
179,./Imaging/a185.fits,185,NGC7006,R,"[:53, 1:2048]","[54:2101, 1:2048]"
180,./Imaging/a186.fits,186,NGC7006,R,"[:53, 1:2048]","[54:2101, 1:2048]"
181,./Imaging/a187.fits,187,NGC7006,I,"[:53, 1:2048]","[54:2101, 1:2048]"
182,./Imaging/a188.fits,188,NGC7006,I,"[:53, 1:2048]","[54:2101, 1:2048]"
183,./Imaging/a189.fits,189,NGC7006,B,"[:53, 1:2048]","[54:2101, 1:2048]"
184,./Imaging/a190.fits,190,NGC7006,B,"[:53, 1:2048]","[54:2101, 1:2048]"
185,./Imaging/a191.fits,191,NGC7006,U,"[:53, 1:2048]","[54:2101, 1:2048]"
186,./Imaging/a192.fits,192,NGC7006,U,"[:53, 1:2048]","[54:2101, 1:2048]"
187,./Imaging/a194.fits,194,SERVICE,None,"[:53, 1:2048]","[54:2101, 1:2048]"
188,./Imaging/a195.fits,195,SERVICE,None,"[:53, 1:2048]","[54:2101, 1:2048]"
189,./Imaging/a196.fits,196,SERVICE,None,"[:53, 1:2048]","[54:2101, 1:2048]"
190,./Imaging/a197.fits,197,SERVICE,None,"[:53, 1:2048]","[54:2101, 1:2048]"
191,./Imaging/a198.fits,198,SERVICE,None,"[:53, 1:2048]","[54:2101, 1:2048]"
192,./Imaging/a199.fits,199,SERVICE,None,"[:53, 1:2048]","[54:2101, 1:2048]"
193,./Imaging/a200.fits,200,SERVICE,None,"[:53, 1:2048]","[54:2101, 1:2048]"
194,./Imaging/a201.fits,201,SERVICE,None,"[:53, 1:2048]","[54:2101, 1:2048]"
195,./Imaging/a202.fits,202,PG1633+099,U,"[:53, 1:2048]","[54:2101, 1:2048]"
196,./Imaging/a203.fits,203,PG1633+099,U,"[:53, 1:2048]","[54:2101, 1:2048]"
197,./Imaging/a204.fits,204,PG1633+099,B,"[:53, 1:2048]","[54:2101, 1:2048]"
198,./Imaging/a205.fits,205,PG1633+099,B,"[:53, 1:2048]","[54:2101, 1:2048]"
199,./Imaging/a206.fits,206,PG1633+099,V,"[:53, 1:2048]","[54:2101, 1:2048]"
200,./Imaging/a207.fits,207,PG1633+099,V,"[:53, 1:2048]","[54:2101, 1:2048]"
201,./Imaging/a208.fits,208,PG1633+099,R,"[:53, 1:2048]","[54:2101, 1:2048]"
202,./Imaging/a209.fits,209,PG1633+099,R,"[:53, 1:2048]","[54:2101, 1:2048]"
203,./Imaging/a210.fits,210,PG1633+099,I,"[:53, 1:2048]","[54:2101, 1:2048]"
204,./Imaging/a211.fits,211,PG1633+099,I,"[:53, 1:2048]","[54:2101, 1:2048]"
205,./Imaging/a212.fits,212,M101,R,"[:53, 1:2048]","[54:2101, 1:2048]"
206,./Imaging/a213.fits,213,M101,R,"[:53, 1:2048]","[54:2101, 1:2048]"
207,./Imaging/a214.fits,214,M101,R,"[:53, 1:2048]","[54:2101, 1:2048]"
208,./Imaging/a215.fits,215,M101,V,"[:53, 1:2048]","[54:2101, 1:2048]"
209,./Imaging/a216.fits,216,M101,V,"[:53, 1:2048]","[54:2101, 1:2048]"
210,./Imaging/a217.fits,217,M101,V,"[:53, 1:2048]","[54:2101, 1:2048]"
211,./Imaging/a218.fits,218,M101,B,"[:53, 1:2048]","[54:2101, 1:2048]"
212,./Imaging/a219.fits,219,M101,B,"[:53, 1:2048]","[54:2101, 1:2048]"
213,./Imaging/a220.fits,220,M101,B,"[:53, 1:2048]","[54:2101, 1:2048]"
214,./Imaging/a237.fits,237,PG1633+099,U,"[:53, 1:2048]","[54:2101, 1:2048]"
215,./Imaging/a238.fits,238,PG1633+099,U,"[:53, 1:2048]","[54:2101, 1:2048]"
216,./Imaging/a239.fits,239,PG1633+099,B,"[:53, 1:2048]","[54:2101, 1:2048]"
217,./Imaging/a240.fits,240,PG1633+099,B,"[:53, 1:2048]","[54:2101, 1:2048]"
218,./Imaging/a241.fits,241,PG1633+099,V,"[:53, 1:2048]","[54:2101, 1:2048]"
219,./Imaging/a242.fits,242,PG1633+099,V,"[:53, 1:2048]","[54:2101, 1:2048]"
220,./Imaging/a243.fits,243,PG1633+099,R,"[:53, 1:2048]","[54:2101, 1:2048]"
221,./Imaging/a244.fits,244,PG1633+099,R,"[:53, 1:2048]","[54:2101, 1:2048]"
222,./Imaging/a245.fits,245,PG1633+099,I,"[:53, 1:2048]","[54:2101, 1:2048]"
223,./Imaging/a246.fits,246,PG1633+099,I,"[:53, 1:2048]","[54:2101, 1:2048]"
