,Unnamed: 0,fn,fnum,objname,filter,trimsec,biassec
61,61,../Imaging/a062.fits,62,FLAT,I,"[:53, 1:2048]","[54:2101, 1:2048]"
62,62,../Imaging/a063.fits,63,SERVICE,,"[:53, 1:2048]","[54:2101, 1:2048]"
63,63,../Imaging/a064.fits,64,PG1633+099,V,"[:53, 1:2048]","[54:2101, 1:2048]"
64,64,../Imaging/a065.fits,65,PG1633+099,V,"[:53, 1:2048]","[54:2101, 1:2048]"
65,65,../Imaging/a066.fits,66,PG1633+099,V,"[:53, 1:2048]","[54:2101, 1:2048]"
66,66,../Imaging/a067.fits,67,PG1633+099,V,"[:53, 1:2048]","[54:2101, 1:2048]"
67,67,../Imaging/a068.fits,68,PG1633+099,V,"[:53, 1:2048]","[54:2101, 1:2048]"
68,68,../Imaging/a069.fits,69,PG1633+099,V,"[:53, 1:2048]","[54:2101, 1:2048]"
69,69,../Imaging/a070.fits,70,PG1633+099,V,"[:53, 1:2048]","[54:2101, 1:2048]"
70,70,../Imaging/a071.fits,71,PG1633+099,V,"[:53, 1:2048]","[54:2101, 1:2048]"
71,71,../Imaging/a072.fits,72,PG1633+099,V,"[:53, 1:2048]","[54:2101, 1:2048]"
72,72,../Imaging/a073.fits,73,PG1633+099,V,"[:53, 1:2048]","[54:2101, 1:2048]"
73,73,../Imaging/a074.fits,74,PG1633+099,V,"[:53, 1:2048]","[54:2101, 1:2048]"
74,74,../Imaging/a075.fits,75,PG1633+099,V,"[:53, 1:2048]","[54:2101, 1:2048]"
75,75,../Imaging/a076.fits,76,PG1633+099,V,"[:53, 1:2048]","[54:2101, 1:2048]"
76,76,../Imaging/a077.fits,77,PG1633+099,V,"[:53, 1:2048]","[54:2101, 1:2048]"
77,77,../Imaging/a078.fits,78,PG1633+099,V,"[:53, 1:2048]","[54:2101, 1:2048]"
78,78,../Imaging/a079.fits,79,PG1633+099,V,"[:53, 1:2048]","[54:2101, 1:2048]"
79,79,../Imaging/a080.fits,80,PG1633+099,V,"[:53, 1:2048]","[54:2101, 1:2048]"
80,80,../Imaging/a081.fits,81,PG1633+099,U,"[:53, 1:2048]","[54:2101, 1:2048]"
81,81,../Imaging/a082.fits,82,PG1633+099,U,"[:53, 1:2048]","[54:2101, 1:2048]"
82,82,../Imaging/a083.fits,83,PG1633+099,B,"[:53, 1:2048]","[54:2101, 1:2048]"
83,83,../Imaging/a084.fits,84,PG1633+099,V,"[:53, 1:2048]","[54:2101, 1:2048]"
84,84,../Imaging/a085.fits,85,PG1633+099,V,"[:53, 1:2048]","[54:2101, 1:2048]"
85,85,../Imaging/a086.fits,86,PG1633+099,V,"[:53, 1:2048]","[54:2101, 1:2048]"
86,86,../Imaging/a087.fits,87,PG1633+099,R,"[:53, 1:2048]","[54:2101, 1:2048]"
87,87,../Imaging/a088.fits,88,PG1633+099,R,"[:53, 1:2048]","[54:2101, 1:2048]"
88,88,../Imaging/a089.fits,89,PG1633+099,I,"[:53, 1:2048]","[54:2101, 1:2048]"
89,89,../Imaging/a090.fits,90,PG1633+099,I,"[:53, 1:2048]","[54:2101, 1:2048]"
90,90,../Imaging/a091.fits,91,PG1633+099,Ha,"[:53, 1:2048]","[54:2101, 1:2048]"
91,91,../Imaging/a092.fits,92,PG1633+099,Ha,"[:53, 1:2048]","[54:2101, 1:2048]"
92,92,../Imaging/a093.fits,93,BIAS,,"[:53, 1:2048]","[54:2101, 1:2048]"
93,93,../Imaging/a094.fits,94,BIAS,,"[:53, 1:2048]","[54:2101, 1:2048]"
94,94,../Imaging/a095.fits,95,BIAS,,"[:53, 1:2048]","[54:2101, 1:2048]"
95,95,../Imaging/a096.fits,96,BIAS,,"[:53, 1:2048]","[54:2101, 1:2048]"
96,96,../Imaging/a097.fits,97,BIAS,,"[:53, 1:2048]","[54:2101, 1:2048]"
97,97,../Imaging/a098.fits,98,BIAS,,"[:53, 1:2048]","[54:2101, 1:2048]"
98,98,../Imaging/a099.fits,99,BIAS,,"[:53, 1:2048]","[54:2101, 1:2048]"
99,99,../Imaging/a100.fits,100,BIAS,,"[:53, 1:2048]","[54:2101, 1:2048]"
100,100,../Imaging/a101.fits,101,BIAS,,"[:53, 1:2048]","[54:2101, 1:2048]"
101,101,../Imaging/a102.fits,102,BIAS,,"[:53, 1:2048]","[54:2101, 1:2048]"
102,102,../Imaging/a103.fits,103,BIAS,,"[:53, 1:2048]","[54:2101, 1:2048]"
103,103,../Imaging/a104.fits,104,BIAS,,"[:53, 1:2048]","[54:2101, 1:2048]"
104,104,../Imaging/a105.fits,105,BIAS,,"[:53, 1:2048]","[54:2101, 1:2048]"
105,105,../Imaging/a106.fits,106,BIAS,,"[:53, 1:2048]","[54:2101, 1:2048]"
106,106,../Imaging/a107.fits,107,BIAS,,"[:53, 1:2048]","[54:2101, 1:2048]"
107,107,../Imaging/a108.fits,108,BIAS,,"[:53, 1:2048]","[54:2101, 1:2048]"
108,108,../Imaging/a109.fits,109,BIAS,,"[:53, 1:2048]","[54:2101, 1:2048]"
109,109,../Imaging/a110.fits,110,BIAS,,"[:53, 1:2048]","[54:2101, 1:2048]"
110,110,../Imaging/a111.fits,111,BIAS,,"[:53, 1:2048]","[54:2101, 1:2048]"
111,111,../Imaging/a112.fits,112,PV Cep,B,"[:53, 1:2048]","[54:2101, 1:2048]"
112,112,../Imaging/a113.fits,113,PV Cep,B,"[:53, 1:2048]","[54:2101, 1:2048]"
113,113,../Imaging/a114.fits,114,PV Cep,B,"[:53, 1:2048]","[54:2101, 1:2048]"
114,114,../Imaging/a115.fits,115,PV Cep,V,"[:53, 1:2048]","[54:2101, 1:2048]"
115,115,../Imaging/a116.fits,116,PV Cep,V,"[:53, 1:2048]","[54:2101, 1:2048]"
116,116,../Imaging/a117.fits,117,PV Cep,V,"[:53, 1:2048]","[54:2101, 1:2048]"
117,117,../Imaging/a118.fits,118,PV Cep,V,"[:53, 1:2048]","[54:2101, 1:2048]"
118,118,../Imaging/a119.fits,119,PV Cep,V,"[:53, 1:2048]","[54:2101, 1:2048]"
119,119,../Imaging/a120.fits,120,PV Cep,V,"[:53, 1:2048]","[54:2101, 1:2048]"
120,120,../Imaging/a121.fits,121,PV Cep,R,"[:53, 1:2048]","[54:2101, 1:2048]"
121,121,../Imaging/a122.fits,122,PV Cep,R,"[:53, 1:2048]","[54:2101, 1:2048]"
122,122,../Imaging/a123.fits,123,PV Cep,R,"[:53, 1:2048]","[54:2101, 1:2048]"
123,123,../Imaging/a124.fits,124,PV Cep,I,"[:53, 1:2048]","[54:2101, 1:2048]"
124,124,../Imaging/a125.fits,125,PV Cep,I,"[:53, 1:2048]","[54:2101, 1:2048]"
125,125,../Imaging/a126.fits,126,PV Cep,I,"[:53, 1:2048]","[54:2101, 1:2048]"
126,126,../Imaging/a127.fits,127,PV Cep,Ha,"[:53, 1:2048]","[54:2101, 1:2048]"
127,127,../Imaging/a128.fits,128,PV Cep,Ha,"[:53, 1:2048]","[54:2101, 1:2048]"
128,128,../Imaging/a129.fits,129,PV Cep,Ha,"[:53, 1:2048]","[54:2101, 1:2048]"
129,129,../Imaging/a130.fits,130,PG1633+099,U,"[:53, 1:2048]","[54:2101, 1:2048]"
130,130,../Imaging/a131.fits,131,PG1633+099,U,"[:53, 1:2048]","[54:2101, 1:2048]"
131,131,../Imaging/a132.fits,132,PG1633+099,B,"[:53, 1:2048]","[54:2101, 1:2048]"
132,132,../Imaging/a133.fits,133,PG1633+099,B,"[:53, 1:2048]","[54:2101, 1:2048]"
133,133,../Imaging/a134.fits,134,PG1633+099,V,"[:53, 1:2048]","[54:2101, 1:2048]"
134,134,../Imaging/a135.fits,135,PG1633+099,V,"[:53, 1:2048]","[54:2101, 1:2048]"
135,135,../Imaging/a136.fits,136,PG1633+099,R,"[:53, 1:2048]","[54:2101, 1:2048]"
136,136,../Imaging/a137.fits,137,PG1633+099,R,"[:53, 1:2048]","[54:2101, 1:2048]"
137,137,../Imaging/a138.fits,138,PG1633+099,I,"[:53, 1:2048]","[54:2101, 1:2048]"
